TimeStamp,RAW-ENG,MIN-ENG,MAX-ENG,RAW-VAL,MIN-VAL,MAX-VAL,RAW-MED,MIN-MED,MAX-MED,RAW-FRU,MIN-FRU,MAX-FRU,RAW-FOC,MIN-FOC,MAX-FOC,RAW-EXC,MIN-EXC,MAX-EXC,MarkerRange,MarkerType,MarkerTitle
1445326702.007,-0.184802,-1.81999,0.20902,0.226013,-16.6871,20.0922,0.127207,-0.0141847,0.396273,49.0688,-7035.54,11842.1,0.756091,0,1,3.88051,2.73424,17.4942,0,0,0
1445326702.5079999,-0.19588,-1.82049,0.210387,0.265464,-16.7057,20.0917,0.130098,-0.0140165,0.395986,49.8482,-7032.28,11826.1,0.74486,0,1,3.70913,2.73424,17.4942,0,0,0
1445326702.9979999,-0.210398,-1.82092,0.211659,0.172602,-16.7237,20.0911,0.1327,-0.0138435,0.395707,49.2842,-7029.02,11810.3,0.734916,0,1,3.56114,2.73424,17.4942,0,0,0
1445326703.487,-0.224624,-1.82127,0.212839,-0.00891265,-16.742,20.0905,0.134889,-0.0136666,0.395434,48.419,-7025.76,11794.4,0.726551,0,1,3.44644,2.73424,17.4942,0,0,0
1445326704.043,-0.242835,-1.82152,0.213907,-0.194561,-16.7607,20.0902,0.135326,-0.0134895,0.395163,47.5306,-7022.49,11778.7,0.721718,0,1,3.38775,2.73424,17.4942,0,0,0
1445326704.529,-0.268658,-1.82166,0.214826,-0.420786,-16.7805,20.0903,0.136098,-0.0133114,0.394895,46.3244,-7019.22,11763,0.721283,0,1,3.42214,2.73424,17.4942,0,0,0
1445326705.0369999,-0.292658,-1.82169,0.215614,-0.542094,-16.8013,20.0907,0.13444,-0.0131373,0.394624,44.9383,-7015.95,11747.3,0.723101,0,1,3.48113,2.73424,17.4942,0,0,0
1445326705.529,-0.309809,-1.82165,0.21631,-0.596889,-16.8229,20.0915,0.130987,-0.0129708,0.394345,43.4151,-7012.68,11731.7,0.725945,0,1,3.55053,2.73424,17.4942,0,0,0
1445326706.039,-0.325245,-1.82154,0.216926,-0.626243,-16.8451,20.0926,0.127078,-0.012813,0.394057,42.5349,-7009.41,11716.2,0.721279,0,1,3.44511,2.73424,17.4942,0,0,0
1445326706.5380001,-0.331032,-1.82142,0.217513,-0.488388,-16.8674,20.0937,0.124542,-0.0126611,0.393764,41.4092,-7006.13,11700.7,0.71398,0,1,3.30909,2.73424,17.4942,0,0,0
1445326707.0769999,-0.319542,-1.82134,0.218152,-0.350462,-16.8892,20.0946,0.120756,-0.0125179,0.393465,40.7002,-7002.85,11685.3,0.72158,0,1,3.52041,2.73424,17.4942,0,0,0
1445326707.5969999,-0.298782,-1.82133,0.218891,-0.367604,-16.9107,20.0954,0.117349,-0.0123828,0.393159,41.0643,-6999.56,11669.9,0.721934,0,1,3.58038,2.73424,17.4942,0,0,0
1445326708.098,-0.280098,-1.8214,0.219724,-0.448734,-16.9323,20.0962,0.114855,-0.0122538,0.392849,41.4369,-6996.26,11654.6,0.714655,0,1,3.47306,2.73424,17.4942,0,0,0
1445326708.5969999,-0.263283,-1.82154,0.220643,-0.389166,-16.9536,20.0969,0.114113,-0.0121269,0.392539,43.9097,-6992.94,11639.4,0.709384,0,1,3.4288,2.73424,17.4942,0,0,0
1445326709.1170001,-0.264875,-1.82166,0.221549,-0.257224,-16.9744,20.0974,0.114801,-0.0119989,0.392232,46.3725,-6989.6,11624.2,0.703898,0,1,3.37032,2.73424,17.4942,0,0,0
1445326709.595,-0.277243,-1.82174,0.222386,-0.273818,-16.9948,20.0978,0.116012,-0.0118684,0.391928,48.3118,-6986.24,11609,0.708364,0,1,3.52811,2.73424,17.4942,0,0,0
1445326710.1270001,-0.292153,-1.82174,0.223141,-0.342236,-17.0151,20.0981,0.117947,-0.0117341,0.391628,50.4799,-6982.87,11593.9,0.710273,0,1,3.62935,2.73424,17.4942,0,0,0
